"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LVA","GDP","TOT","USD_CAP","A","2012",21129.310092,
"LVA","GDP","TOT","USD_CAP","A","2013",22557.153251,
"LVA","GDP","TOT","USD_CAP","A","2014",23536.806939,
"BRA","GDP","TOT","USD_CAP","A","2005",11076.152184,
"BRA","GDP","TOT","USD_CAP","A","2006",11734.587781,
"BRA","GDP","TOT","USD_CAP","A","2007",12626.987369,
"BRA","GDP","TOT","USD_CAP","A","2008",13374.795258,
"BRA","GDP","TOT","USD_CAP","A","2009",13304.830573,
"BRA","GDP","TOT","USD_CAP","A","2010",14342.300388,
"BRA","GDP","TOT","USD_CAP","A","2011",15065.354984,
"LTU","GDP","TOT","USD_CAP","A","2005",14681.985702,
"LTU","GDP","TOT","USD_CAP","A","2006",16728.967296,
"LTU","GDP","TOT","USD_CAP","A","2007",19277.107819,
"LTU","GDP","TOT","USD_CAP","A","2008",20796.830961,
"LTU","GDP","TOT","USD_CAP","A","2009",18277.903912,
"LTU","GDP","TOT","USD_CAP","A","2010",20085.027782,
"LTU","GDP","TOT","USD_CAP","A","2011",22541.682266,
"LTU","GDP","TOT","USD_CAP","A","2012",24475.132191,
"LTU","GDP","TOT","USD_CAP","A","2013",26510.900225,
"LTU","GDP","TOT","USD_CAP","A","2014",27718.614833,
"SAU","GDP","TOT","USD_CAP","A","2005",34629.541869,
"SAU","GDP","TOT","USD_CAP","A","2006",36671.2329,
"SAU","GDP","TOT","USD_CAP","A","2007",39065.979446,
"SAU","GDP","TOT","USD_CAP","A","2008",42450.717921,
"SAU","GDP","TOT","USD_CAP","A","2009",42856.538356,
"SAU","GDP","TOT","USD_CAP","A","2010",44675.372102,
"SAU","GDP","TOT","USD_CAP","A","2011",49229.772522,
"SAU","GDP","TOT","USD_CAP","A","2012",51829.654282,
"SAU","GDP","TOT","USD_CAP","A","2013",52992.862571,
"SAU","GDP","TOT","USD_CAP","A","2014",54606.562237,
"EA19","GDP","TOT","USD_CAP","A","2005",30057.80684,
"EA19","GDP","TOT","USD_CAP","A","2006",32521.799554,
"EA19","GDP","TOT","USD_CAP","A","2007",34450.340168,
"EA19","GDP","TOT","USD_CAP","A","2008",35830.074079,
"EA19","GDP","TOT","USD_CAP","A","2009",34867.078991,
"EA19","GDP","TOT","USD_CAP","A","2010",35905.797972,
"EA19","GDP","TOT","USD_CAP","A","2011",37254.955665,
"EA19","GDP","TOT","USD_CAP","A","2012",37526.8917,
"EA19","GDP","TOT","USD_CAP","A","2013",38605.622774,
"EA19","GDP","TOT","USD_CAP","A","2014",39211.982305,
"ARG","GDP","TOT","USD_CAP","A","2005",13921.484887,
"ARG","GDP","TOT","USD_CAP","A","2006",15419.356273,
"ARG","GDP","TOT","USD_CAP","A","2007",16939.104004,
"ARG","GDP","TOT","USD_CAP","A","2008",17653.947907,
"ARG","GDP","TOT","USD_CAP","A","2009",17642.47377,
"ARG","GDP","TOT","USD_CAP","A","2010",19324.059054,
"ARG","GDP","TOT","USD_CAP","A","2011",21300.57244,
"ARG","GDP","TOT","USD_CAP","A","2012",21783.28435,
"ARG","GDP","TOT","USD_CAP","A","2013",22816.526805,
"ARG","GDP","TOT","USD_CAP","A","2014",22179.30231,
