LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
IRL	INCOMEINEQ	GINI	INEQ	A	2011	0.302	
IRL	INCOMEINEQ	GINI	INEQ	A	2012	0.304	
ITA	INCOMEINEQ	GINI	INEQ	A	2005	0.325	
ITA	INCOMEINEQ	GINI	INEQ	A	2006	0.325	
ITA	INCOMEINEQ	GINI	INEQ	A	2007	0.313	
ITA	INCOMEINEQ	GINI	INEQ	A	2008	0.317	
ITA	INCOMEINEQ	GINI	INEQ	A	2009	0.316	
ITA	INCOMEINEQ	GINI	INEQ	A	2010	0.324	
ITA	INCOMEINEQ	GINI	INEQ	A	2011	0.324	
ITA	INCOMEINEQ	GINI	INEQ	A	2012	0.327	
KOR	INCOMEINEQ	GINI	INEQ	A	2012	0.307	
KOR	INCOMEINEQ	GINI	INEQ	A	2013	0.302	
LUX	INCOMEINEQ	GINI	INEQ	A	2005	0.284	
LUX	INCOMEINEQ	GINI	INEQ	A	2006	0.277	
LUX	INCOMEINEQ	GINI	INEQ	A	2007	0.279	
LUX	INCOMEINEQ	GINI	INEQ	A	2008	0.292	
LUX	INCOMEINEQ	GINI	INEQ	A	2009	0.281	
LUX	INCOMEINEQ	GINI	INEQ	A	2010	0.273	
LUX	INCOMEINEQ	GINI	INEQ	A	2011	0.279	
LUX	INCOMEINEQ	GINI	INEQ	A	2012	0.302	
MEX	INCOMEINEQ	GINI	INEQ	A	2012	0.457	
NLD	INCOMEINEQ	GINI	INEQ	A	2010	0.283	
NLD	INCOMEINEQ	GINI	INEQ	A	2011	0.283	
NLD	INCOMEINEQ	GINI	INEQ	A	2012	0.281	
NLD	INCOMEINEQ	GINI	INEQ	A	2013	0.278	
NZL	INCOMEINEQ	GINI	INEQ	A	2011	0.323	
NZL	INCOMEINEQ	GINI	INEQ	A	2012	0.333	
NOR	INCOMEINEQ	GINI	INEQ	A	2011	0.25	
NOR	INCOMEINEQ	GINI	INEQ	A	2012	0.253	
POL	INCOMEINEQ	GINI	INEQ	A	2005	0.327	
POL	INCOMEINEQ	GINI	INEQ	A	2006	0.316	
POL	INCOMEINEQ	GINI	INEQ	A	2007	0.317	
POL	INCOMEINEQ	GINI	INEQ	A	2008	0.309	
POL	INCOMEINEQ	GINI	INEQ	A	2009	0.304	
POL	INCOMEINEQ	GINI	INEQ	A	2010	0.31	
POL	INCOMEINEQ	GINI	INEQ	A	2011	0.305	
POL	INCOMEINEQ	GINI	INEQ	A	2012	0.298	
PRT	INCOMEINEQ	GINI	INEQ	A	2005	0.379	
PRT	INCOMEINEQ	GINI	INEQ	A	2006	0.371	
PRT	INCOMEINEQ	GINI	INEQ	A	2007	0.361	
PRT	INCOMEINEQ	GINI	INEQ	A	2008	0.355	
PRT	INCOMEINEQ	GINI	INEQ	A	2009	0.337	
PRT	INCOMEINEQ	GINI	INEQ	A	2010	0.347	
PRT	INCOMEINEQ	GINI	INEQ	A	2011	0.343	
PRT	INCOMEINEQ	GINI	INEQ	A	2012	0.338	
SVK	INCOMEINEQ	GINI	INEQ	A	2005	0.289	
SVK	INCOMEINEQ	GINI	INEQ	A	2006	0.253	
SVK	INCOMEINEQ	GINI	INEQ	A	2007	0.247	
SVK	INCOMEINEQ	GINI	INEQ	A	2008	0.257	
SVK	INCOMEINEQ	GINI	INEQ	A	2009	0.264	
SVK	INCOMEINEQ	GINI	INEQ	A	2010	0.264	
SVK	INCOMEINEQ	GINI	INEQ	A	2011	0.263	
SVK	INCOMEINEQ	GINI	INEQ	A	2012	0.25	
ESP	INCOMEINEQ	GINI	INEQ	A	2009	0.334	
ESP	INCOMEINEQ	GINI	INEQ	A	2010	0.341	
ESP	INCOMEINEQ	GINI	INEQ	A	2011	0.342	
ESP	INCOMEINEQ	GINI	INEQ	A	2012	0.335	
SWE	INCOMEINEQ	GINI	INEQ	A	2011	0.273	
SWE	INCOMEINEQ	GINI	INEQ	A	2012	0.274	
CHE	INCOMEINEQ	GINI	INEQ	A	2010	0.298	
CHE	INCOMEINEQ	GINI	INEQ	A	2011	0.289	
CHE	INCOMEINEQ	GINI	INEQ	A	2012	0.285	
TUR	INCOMEINEQ	GINI	INEQ	A	2011	0.407	
TUR	INCOMEINEQ	GINI	INEQ	A	2012	0.402	
GBR	INCOMEINEQ	GINI	INEQ	A	2005	0.35	
GBR	INCOMEINEQ	GINI	INEQ	A	2006	0.354	
GBR	INCOMEINEQ	GINI	INEQ	A	2007	0.361	
GBR	INCOMEINEQ	GINI	INEQ	A	2008	0.359	
GBR	INCOMEINEQ	GINI	INEQ	A	2009	0.362	
GBR	INCOMEINEQ	GINI	INEQ	A	2010	0.341	
GBR	INCOMEINEQ	GINI	INEQ	A	2011	0.344	
GBR	INCOMEINEQ	GINI	INEQ	A	2012	0.351	
USA	INCOMEINEQ	GINI	INEQ	A	2012	0.39	
USA	INCOMEINEQ	GINI	INEQ	A	2013	0.401	
EST	INCOMEINEQ	GINI	INEQ	A	2005	0.338	
EST	INCOMEINEQ	GINI	INEQ	A	2006	0.342	
EST	INCOMEINEQ	GINI	INEQ	A	2007	0.316	
EST	INCOMEINEQ	GINI	INEQ	A	2008	0.32	
EST	INCOMEINEQ	GINI	INEQ	A	2009	0.321	
EST	INCOMEINEQ	GINI	INEQ	A	2010	0.328	
EST	INCOMEINEQ	GINI	INEQ	A	2011	0.334	
EST	INCOMEINEQ	GINI	INEQ	A	2012	0.338	
ISR	INCOMEINEQ	GINI	INEQ	A	2011	0.371	
ISR	INCOMEINEQ	GINI	INEQ	A	2012	0.371	
ISR	INCOMEINEQ	GINI	INEQ	A	2013	0.36	
SVN	INCOMEINEQ	GINI	INEQ	A	2005	0.24	
SVN	INCOMEINEQ	GINI	INEQ	A	2006	0.239	
SVN	INCOMEINEQ	GINI	INEQ	A	2007	0.24	
SVN	INCOMEINEQ	GINI	INEQ	A	2008	0.235	
SVN	INCOMEINEQ	GINI	INEQ	A	2009	0.246	
SVN	INCOMEINEQ	GINI	INEQ	A	2010	0.248	
SVN	INCOMEINEQ	GINI	INEQ	A	2011	0.248	
SVN	INCOMEINEQ	GINI	INEQ	A	2012	0.25	
